timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
8.347,-0.685095,0.402647,-0.553143,48009.964844,-18535.808594,-100896.320312
8.398,-0.711913,0.471797,-0.545248,48798.578125,-17282.138672,-100896.320312
8.45,-0.704693,0.429319,-0.472219,48754.765625,-17238.910156,-100778.875
8.502,-0.725322,0.503408,-0.544261,48535.707031,-15509.708984,-99486.992188
8.553,-0.719134,0.419441,-0.52255,48535.707031,-15466.478516,-99369.546875
8.604,-0.723259,0.414502,-0.486036,49587.195312,-14472.189453,-98782.328125
8.654,-0.683033,0.550825,-0.470246,49543.382812,-14428.958984,-98782.328125
8.706,-0.767612,0.609108,-0.385375,49061.449219,-14212.808594,-99486.992188
8.757,-0.684064,0.536995,-0.440639,49017.640625,-14169.580078,-99369.546875
8.807,-0.667561,0.56663,-0.397217,48272.835938,-12181,-96668.335938
8.857,-0.711913,0.622938,-0.433731,48272.835938,-12137.769531,-96668.335938
8.908,-0.703662,0.544898,-0.378466,50901.554688,-10884.099609,-94554.34375
8.958,-0.661372,0.605157,-0.349847,50857.742188,-10840.869141,-94554.34375
9.008,-0.687158,0.632816,-0.397217,49587.195312,-9371.050781,-91618.242188
9.059,-0.658277,0.586387,-0.321228,49587.195312,-9327.820312,-91618.242188
9.11,-0.667561,0.695051,-0.324188,49587.195312,-8333.529297,-89386.804688
9.162,-0.617019,0.725674,-0.489983,49587.195312,-8290.300781,-89386.804688
9.214,-0.63146,0.738516,-0.196881,50112.9375,-6301.720215,-87977.484375
9.265,-0.587107,0.780994,-0.164315,50112.9375,-6258.489746,-87977.484375
9.317,-0.578855,0.763213,-0.188,50375.8125,-3491.77002,-84336.71875
9.367,-0.569572,0.793836,-0.085365,50332,-3448.540039,-84336.71875
9.418,-0.590201,0.704929,-0.117932,49587.195312,-1416.72998,-77759.851562
9.469,-0.595358,0.60812,-0.066614,49587.195312,-1373.5,-77759.851562
9.519,-0.537597,1.051664,-0.115958,49587.195312,-638.590088,-77055.1875
9.569,-0.443734,1.008199,-0.114971,49587.195312,-595.360107,-77055.1875
9.62,-0.477772,0.962758,0.147538,49850.066406,96.319824,-69069
9.67,-0.451986,0.852119,-0.020231,49806.253906,139.550049,-69069
9.72,-0.508716,0.861997,-0.108063,48535.707031,2171.359863,-66132.898438
9.771,-0.434451,0.900524,0.068588,48491.894531,2214.589844,-66132.898438
9.822,-0.422073,0.907439,0.260041,47790.902344,3943.790039,-62609.574219
9.872,-0.41279,0.867925,0.010362,47790.902344,3943.790039,-62727.019531
9.924,-0.406601,0.907439,0.11201,48009.964844,4462.549805,-63314.238281
9.976,-0.394224,0.919293,0.091286,47966.152344,4462.549805,-63314.238281
10.026,-0.389067,0.849155,0.042929,47265.160156,4981.310059,-60378.140625
10.077,-0.342651,0.918305,0.170236,47221.347656,4981.310059,-60378.140625
10.128,-0.362249,0.949916,0.119905,46739.414062,6018.830078,-53801.277344
10.179,-0.372563,0.849155,0.174183,46695.601562,6018.830078,-53801.277344
10.229,-0.357091,0.946952,0.146551,45162.183594,6537.589844,-52391.949219
10.28,-0.325116,0.884718,0.19096,45162.183594,6537.589844,-52391.949219
10.331,-0.295204,0.896572,0.212671,45425.054688,7013.120117,-45815.082031
10.382,-0.284889,0.877803,0.216619,45381.242188,7013.120117,-45815.082031
10.434,-0.240536,0.885706,0.331096,44373.566406,7531.879883,-42174.320312
10.485,-0.281795,0.940038,0.255107,44373.566406,7531.879883,-42174.320312
10.536,-0.241568,0.951892,0.365637,44636.4375,8828.779297,-36419.5625
10.587,-0.230222,0.870888,0.311359,44592.628906,8828.779297,-36419.5625
10.637,-0.244662,0.985479,0.327149,43891.636719,9606.919922,-31252.03125
10.688,-0.203404,0.836313,0.374519,43847.824219,9563.689453,-31252.03125
10.739,-0.169366,0.88373,0.384388,43628.761719,9088.160156,-29842.703125
10.79,-0.178649,0.799763,0.382414,43584.949219,9088.160156,-29842.703125
10.841,-0.131202,0.900524,0.474193,42314.402344,9606.919922,-27728.710938
10.892,-0.134296,0.860022,0.423863,42270.589844,9606.919922,-27728.710938
10.942,-0.114698,0.915341,0.492944,41788.660156,9866.299805,-24087.945312
10.993,-0.117793,0.891633,0.422876,41744.847656,9866.299805,-24087.945312
11.044,-0.101289,0.838289,0.447548,39992.367188,10341.830078,-20447.179688
11.095,-0.056937,0.870888,0.50676,39948.554688,10298.599609,-20447.179688
11.145,-0.058999,0.843228,0.532419,39203.75,10082.449219,-17511.078125
11.196,-0.040433,0.815569,0.509721,39159.9375,10082.449219,-17511.078125
11.247,-0.034244,0.857058,0.566959,38678.007812,10082.449219,-13870.3125
11.298,-0.063125,0.896572,0.534393,38634.195312,10082.449219,-13870.3125
11.349,-0.033213,0.797787,0.7594,37144.585938,10341.830078,-13870.3125
11.4,-0.009489,0.80569,0.58571,37144.585938,10298.599609,-13870.3125
11.451,-0.007427,0.886694,0.558078,38415.136719,10082.449219,-10229.554688
11.502,0.055493,0.803714,0.597553,38371.324219,10082.449219,-10229.554688
11.553,0.06065,0.800751,0.653804,37626.519531,10082.449219,-7293.453125
11.603,0.029706,0.780006,0.611369,37582.707031,10082.449219,-7293.453125
11.654,-0.005364,0.69999,0.49097,37144.585938,10601.209961,-3652.6875
11.704,0.05343,0.744443,0.642949,37100.773438,10557.980469,-3652.6875
11.755,0.043115,0.807666,0.618277,35304.484375,10341.830078,-3652.6875
11.806,0.081279,0.790872,0.669594,35260.671875,10298.599609,-3652.6875
11.857,0.074059,0.722711,0.656765,34778.738281,9088.160156,692.742188
11.907,0.103971,0.730613,0.663673,34734.925781,9088.160156,692.742188
11.958,0.122537,0.626889,0.636041,33771.0625,9088.160156,692.742188
12.009,0.1246,0.759261,0.705122,33727.25,9088.160156,692.742188
12.059,0.139041,0.682209,0.669594,33245.320312,9088.160156,4333.507812
12.109,0.191645,0.662452,0.746571,33245.320312,9044.929688,4333.507812
12.159,0.190614,0.799763,0.780124,33508.191406,8050.639648,6447.5
12.209,0.207117,0.577497,0.668608,33464.378906,8050.639648,6447.5
12.26,0.214337,0.604169,0.66466,31930.962891,8050.639648,8678.929688
12.311,0.331924,0.521189,0.635054,31887.150391,8007.409668,8678.929688
12.362,0.497989,0.377951,0.788019,30397.541016,7531.879883,10792.921875
12.413,0.331924,0.865949,0.791967,30353.728516,7488.649902,10792.921875
12.464,0.332955,0.647634,0.847232,28820.310547,6753.739746,16665.125
12.514,0.406189,0.422404,0.692293,28776.498047,6710.509766,16665.125
12.564,0.391748,0.431295,0.729794,25446.785156,4721.929688,20305.890625
12.615,0.416503,0.569594,0.788019,25446.785156,4678.699707,20305.890625
12.666,0.389685,0.490566,0.780124,25972.529297,4203.169922,25355.976562
12.716,0.418566,0.449076,0.777164,25928.716797,4159.939941,25238.539062
12.767,0.409283,0.536007,0.791967,25183.912109,3425.029785,23946.648438
12.818,0.419598,0.371036,0.752492,25183.912109,3381.799805,23946.648438
12.869,0.417535,0.4797,0.771242,26235.400391,2430.73999,26178.085938
12.919,0.467045,0.390793,0.815652,26191.587891,2430.73999,26178.085938
12.969,0.467045,0.431295,0.836376,25183.912109,1133.839966,28292.078125
13.019,0.433007,0.389805,0.827494,25140.101562,1133.839966,28292.078125
13.07,0.459825,0.269288,0.870917,24132.425781,-163.060059,33342.171875
13.121,0.439195,0.359182,0.731767,24132.425781,-163.060059,33342.171875
