timestamp(ms),Mag_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,
"62.202","53307.65625","0.10294","0.137904","1.004145","41306.726562","-3491.77002",
"62.253","53307.65625","0.047241","0.273239","0.961709","41262.914062","-3491.77002",
"62.306","56243.75","0.139041","0.085548","1.000197","39773.308594","-6561.100098",
"62.357","56243.75","0.093657","0.197175","0.965657","39729.496094","-6561.100098",
"62.409","56948.421875","0.148324","0.037143","0.891641","39510.433594","-7339.239746",
"62.46","56948.421875","0.15245","0.182357","1.01204","39466.621094","-7339.239746",
"62.51","61411.28125","0.207117","0.07073","0.991315","38196.074219","-8333.529297",
"62.561","61411.28125","0.225683","0.049985","1.03079","38152.261719","-8333.529297",
"62.611","62115.953125","0.25147","0.040107","0.987368","37188.398438","-9889.810547",
"62.661","62115.953125","0.246313","-0.005334","0.921247","37144.585938","-9889.810547",
"62.712","65756.71875","0.287571","-0.008298","1.009079","35348.296875","-11186.708984",
"62.763","65756.71875","0.25147","0.035167","0.944932","35348.296875","-11186.708984",
"62.814","67870.703125","0.263847","0.011459","0.925195","35348.296875","-12440.380859",
"62.865","67870.703125","0.291697","-0.046824","0.887694","35304.484375","-12440.380859",
"62.915","68692.8125","0.322641","-0.037933","0.972565","33508.191406","-14256.039062",
"62.966","68575.375","0.326766","-0.07152","0.957762","33464.378906","-14256.039062",
"63.017","67166.046875","0.338112","-0.049788","0.910392","32763.388672","-14774.798828",
"63.068","67166.046875","0.359773","-0.090289","0.965657","32719.576172","-14774.798828",
"63.119","70806.8125","0.356679","-0.065593","0.867956","31974.771484","-17065.990234",
"63.17","70806.8125","0.39278","-0.111034","0.967631","31974.771484","-17065.990234",
"63.221","71628.921875","0.38556","-0.103131","0.942959","31974.771484","-17584.75",
"63.272","71628.921875","0.378339","-0.087326","0.647883","31930.962891","-17584.75",
"63.323","72333.578125","0.514492","-0.223649","1.096911","30660.412109","-19357.179688",
"63.374","72333.578125","0.470139","-0.133755","0.800849","30616.599609","-19357.179688",
"63.425","72333.578125","0.493863","-0.162402","0.815652","29126.994141","-20654.080078",
"63.475","72333.578125","0.503146","-0.162402","0.791967","29083.181641","-20654.080078",
"63.525","72333.578125","0.591851","-0.308604","0.895589","27286.888672","-23204.648438",
"63.576","72216.140625","0.580505","-0.222661","0.667621","27243.076172","-23247.878906",
"63.627","70806.8125","0.618669","-0.327373","0.907431","25490.595703","-27570.878906",
"63.677","70689.359375","0.637236","-0.292799","0.622224","25446.785156","-27570.878906",
"63.728","69397.484375","0.653739","-0.307616","0.656765","23124.748047","-30640.208984",
"63.779","69280.03125","0.670242","-0.309592","0.651831","23080.9375","-30640.208984",
"63.83","63525.28125","0.720784","-0.308604","0.592618","20539.841797","-32974.632812",
"63.881","63407.84375","0.797112","-0.322434","0.611369","20496.029297","-32974.632812",
"63.932","60589.1875","0.789892","-0.280944","0.634067","18699.736328","-37038.25",
"63.982","60471.734375","0.819804","-0.304653","0.557091","18655.925781","-37038.25",
"64.033","51076.21875","0.855905","-0.361948","0.453469","15326.212891","-40410.191406",
"64.084","50958.765625","0.848685","-0.313543","0.407086","15282.400391","-40410.191406",
"64.135","43090.03125","0.906447","-0.317495","0.497878","14055.664062","-41923.242188",
"64.186","42972.578125","0.898195","-0.238467","0.421889","14011.853516","-41923.242188",
"64.236","34986.390625","0.913667","-0.295762","0.302477","13004.177734","-41923.242188",
"64.287","34868.9375","0.909541","-0.31058","0.341952","12960.365234","-41880.011719",
"64.338","28409.523438","0.927076","-0.275017","0.41202","10156.396484","-40885.722656",
"64.389","28292.078125","0.946674","-0.304653","0.257081","10112.583984","-40842.492188",
"64.44","20305.890625","0.950799","-0.305641","0.221553","8842.037109","-40626.339844",
"64.49","20188.445312","0.919856","-0.2602","0.23833","8798.224609","-40626.339844",
"64.541","17487.234375","1.008561","-0.501235","-0.142603","5994.256348","-40626.339844",
"64.592","17369.789062","1.034348","-0.195989","0.416955","5950.443848","-40626.339844",
"64.643","13024.359375","0.962145","-0.235503","0.29853","3891.280762","-41145.101562",
"64.693","12789.46875","0.97968","-0.294774","-0.177144","3847.468262","-41101.871094",
"64.744","-8115.5625","0.993089","-0.361948","0.019244","2883.604004","-40410.191406",
"64.795","-8233","0.975554","-0.29675","0.074509","2839.79248","-40366.960938",
"64.846","-8937.664062","1.023002","-0.391584","-0.163328","2620.731934","-39372.671875",
"64.897","-9055.109375","0.973491","-0.308604","-0.019244","2576.92041","-39372.671875",
"64.948","-13283.09375","0.964208","-0.314531","-0.139643","2094.987793","-40150.8125",
"64.999","-13400.539062","1.004435","-0.409365","-0.177144","2051.17627","-40107.582031",
"65.05","-24205.390625","0.917793","-0.276993","-0.036021","780.628418","-39372.671875",
"65.101","-24440.273438","0.975554","-0.433073","-0.260041","736.816406","-39329.441406",
"65.152","-39590.550781","0.863125","-0.351082","-0.362676","35.824219","-37297.632812",
"65.203","-39707.996094","0.959051","-0.389608","-0.220566","-7.987793","-37254.402344",
"65.254","-49808.179688","0.843528","-0.387632","-0.284713","-1278.535645","-36562.722656",
"65.305","-49925.625","0.88788","-0.378741","-0.42781","-1278.535645","-36519.492188",
"65.355","-61552.578125","0.890975","-0.383681","-0.326162","-1278.535645","-34487.679688",
"65.406","-61670.023438","0.906447","-0.42517","-0.471233","-1278.535645","-34444.449219",
"65.457","-71065.546875","1.067354","-0.506174","-0.500839","780.628418","-33234.011719",
"65.507","-71182.984375","0.854874","-0.332313","-0.278792","780.628418","-33190.78125",
"65.557","-82105.28125","0.730067","-0.451842","-0.493931","2094.987793","-31937.107422",
"65.608","-82222.726562","0.790923","-0.357009","-0.636041","2094.987793","-31893.880859",
"65.659","-90091.46875","0.747602","-0.537785","-0.449521","4417.023926","-30640.208984",
"65.71","-90208.914062","0.711501","-0.301689","-0.604461","4417.023926","-30596.978516",
"65.76","-95963.671875","0.620732","-0.562481","-0.63308","5731.384277","-28608.398438",
"65.811","-96081.117188","0.692935","-0.294774","-0.579789","5731.384277","-28608.398438",
"65.862","-100191.65625","0.684683","-0.50815","-0.606434","8579.164062","-29645.919922",
"65.913","-100191.65625","0.613512","-0.42517","-0.64887","8579.164062","-29602.689453",
"65.964","-102423.09375","0.59804","-0.520992","-0.683411","9893.525391","-29127.160156",
"66.014","-102423.09375","0.645487","-0.483454","-0.61729","9893.525391","-29127.160156",
"66.065","-104654.53125","0.550593","-0.603971","-0.68045","10156.396484","-29862.068359",
"66.116","-104654.53125","0.592883","-0.439988","-0.630119","10156.396484","-29862.068359",
"66.167","-106063.859375","0.500052","-0.568409","-0.656765","12478.433594","-30640.208984",
"66.218","-105946.414062","0.510366","-0.553591","-0.578802","12478.433594","-30640.208984",
"66.269","-105359.195312","0.496957","-0.626692","-0.577815","13267.048828","-31158.970703",
"66.32","-105359.195312","0.510366","-0.645461","-0.72782","13267.048828","-31158.970703",
"66.371","-105359.195312","0.540278","-0.582238","-0.570907","13529.919922","-33450.160156",
"66.423","-105241.75","0.426818","-0.70572","-0.662686","13529.919922","-33450.160156",
"66.474","-104654.53125","0.494894","-0.672133","-0.558078","14318.537109","-34228.300781",
"66.525","-104537.085938","0.490768","-0.626692","-0.567946","14318.537109","-34228.300781",
"66.576","-102423.09375","0.464982","-0.745234","-0.607421","15063.341797","-34747.0625",
"66.627","-102423.09375","0.433007","-0.666206","-0.535379","15019.529297","-34747.0625",
"66.678","-103127.757812","0.409283","-0.698805","-0.563012","14055.664062","-35784.582031",
"66.729","-103010.3125","0.419598","-0.876618","-0.600513","14055.664062","-35784.582031",
"66.78","-100191.65625","0.441258","-0.730416","-0.6015","14055.664062","-36562.722656",
"66.831","-100074.210938","0.368025","-0.670157","-0.495904","14055.664062","-36562.722656",
"66.882","-97373","0.35771","-0.79265","-0.471233","16114.828125","-38075.769531",
"66.934","-97373","0.311294","-0.79265","-0.495904","16114.828125","-38075.769531",
"66.985","-98077.664062","0.312326","-0.876618","-0.458403","17429.189453","-39891.429688",
"67.036","-97960.21875","0.313357","-0.853897","-0.436692","17429.189453","-39891.429688",
"67.087","-93732.234375","0.239092","-0.829201","-0.428797","18699.736328","-41404.480469",
"67.137","-93732.234375","0.322641","-0.893411","-0.437679","18699.736328","-41404.480469",
"67.188","-89386.804688","0.168953","-1.208535","-0.363663","20539.841797","-42701.382812",
"67.239","-89504.25","0.211243","-0.852909","-0.372545","20496.029297","-42701.382812",
"67.29","-90091.46875","0.069933","-0.895387","-0.292608","20276.96875","-43738.902344",
"67.34","-90091.46875","0.109128","-0.924034","-0.284713","20276.96875","-43738.902344",
"67.391","-87977.484375","-0.247757","-0.841055","-0.240304","22599.005859","-45770.710938",
"67.441","-87977.484375","0.033832","-1.044552","-0.26695","22599.005859","-45770.710938",
"67.491","-84219.273438","0.064776","-0.974415","-0.36169","24964.853516","-47326.992188",
"67.543","-84219.273438","0.023517","-0.985281","-0.231422","24964.853516","-47326.992188",
"67.596","-79873.84375","0.013203","-0.956633","-0.228461","25227.724609","-47845.75",
"67.648","-79873.84375","-0.050748","-0.970463","-0.209711","25227.724609","-47845.75",
"67.7","-76937.742188","-0.077566","-0.934901","-0.133722","26761.146484","-49099.421875",
"67.752","-76937.742188","-0.110572","-0.999111","-0.09622","26761.146484","-49099.421875",
"67.804","-73296.984375","-0.13017","-1.035661","-0.135695","28601.248047","-49618.179688",
"67.856","-73296.984375","-0.126044","-1.058382","-0.038982","28601.248047","-49618.179688",
"67.908","-66720.117188","-0.135327","-0.907241","0.092273","30397.541016","-50396.320312",
"67.959","-66720.117188","-0.118824","-0.916132","0.106089","30397.541016","-50396.320312",
"68.01","-59438.589844","-0.148736","-1.012941","0.113984","30660.412109","-51433.839844",
"68.061","-59438.589844","-0.17968","-1.000099","0.162341","30660.412109","-51433.839844",
"68.113","-50630.289062","-0.200309","-0.910204","0.142603","31186.158203","-51909.371094",
"68.164","-50630.289062","-0.236411","-0.909217","0.259055","31186.158203","-51909.371094",
"68.215","-48398.851562","-0.256008","-0.915144","0.174183","33289.132812","-52428.132812",
"68.266","-48398.851562","-0.268386","-1.023807","0.197868","33289.132812","-52428.132812",
"68.317","-43231.316406","-0.239505","-0.919095","0.248199","34296.808594","-52428.132812",
"68.368","-43231.316406","-0.291078","-0.934901","0.272871","34296.808594","-52428.132812",
"68.418","-43231.316406","-0.236411","-0.914156","0.338991","34822.550781","-52687.511719",
"68.468","-43231.316406","-0.272512","-0.896375","0.336031","34822.550781","-52644.28125",
"68.519","-37476.558594","-0.236411","-0.935889","0.343926","35874.039062","-52168.75",
"68.569","-37476.558594","-0.239505","-0.794626","0.408073","35830.226562","-52168.75",
"68.62","-33718.351562","-0.283858","-0.890447","0.370571","35348.296875","-52946.890625",
"68.671","-33718.351562","-0.272512","-0.821298","0.460377","35304.484375","-52946.890625",
"68.722","-30077.585938","-0.232285","-0.862788","0.497878","34822.550781","-52946.890625",
"68.773","-30077.585938","-0.189995","-0.879581","0.503799","34778.738281","-52903.660156",
"68.824","-19859.960938","-0.174523","-0.839079","0.500839","34296.808594","-52687.511719",
"68.874","-19859.960938","-0.17246","-0.879581","0.544261","34296.808594","-52644.28125",
"68.925","-16219.195312","-0.159051","-0.786723","0.574854","34559.679688","-52428.132812",
"68.976","-16219.195312","-0.184838","-0.768942","0.621238","34515.867188","-52384.902344",
"69.027","-10346.992188","-0.136359","-0.753136","0.63308","34033.933594","-52168.75",
"69.079","-10346.992188","-0.142548","-0.789687","0.639988","34033.933594","-52125.519531",
"69.129","-4474.796875","-0.034244","-0.772893","0.788019","34033.933594","-51433.839844",
"69.179","-4474.796875","-0.046622","-0.802529","0.632093","33990.121094","-51390.609375",
"69.23","575.296875","-0.044559","-0.689914","0.551169","31974.771484","-51174.460938",
"69.281","457.851562","-0.017741","-0.867727","0.6015","31930.962891","-51131.230469",
"69.331","-834.03125","-0.024961","-0.70078","0.504786","30660.412109","-50655.699219",
"69.383","-834.03125","-0.048685","-0.799565","0.675516","30616.599609","-50655.699219",
"69.434","-834.03125","0.057555","-0.706707","0.752492","30134.669922","-51433.839844",
"69.485","-834.03125","0.08231","-0.768942","0.796901","30090.857422","-51390.609375",
"69.536","7269.601562","0.113254","-0.674108","0.734728","28601.248047","-50915.082031",
"69.587","7269.601562","0.10294","-0.683987","0.662686","28557.435547","-50915.082031",
"69.637","12319.695312","0.140072","-0.70078","0.55413","27549.759766","-50915.082031",
"69.687","12319.695312","0.1246","-0.682999","0.685384","27505.947266","-50871.851562",
"69.738","14551.132812","0.168953","-0.601008","0.731767","25753.470703","-50396.320312",
"69.789","14433.6875","0.210211","-0.578287","0.805783","25709.658203","-50353.089844",
"69.84","13024.359375","0.351521","-0.487405","0.836376","25490.595703","-49877.5625",
"69.89","13141.804688","0.352553","-0.585202","0.924208","25446.785156","-49834.332031",
"69.941","25473.421875","0.254564","-0.28292","0.785059","24176.236328","-47326.992188",
"69.992","25473.421875","0.323672","-0.329349","0.690319","24132.425781","-47283.761719",
"70.043","34281.71875","0.375245","-0.265139","0.850192","22599.005859","-43998.28125",
"70.094","34281.71875","0.459825","-0.164378","0.923221","22555.193359","-43955.050781",
"70.145","40153.921875","0.540278","-0.308604","0.910392","21328.457031","-41923.242188",
"70.196","40271.375","0.542341","-0.111034","0.875851","21284.644531","-41836.78125",
"70.248","54834.421875","0.550593","-0.152524","0.726833","18962.609375","-37081.480469",
"70.3","54834.421875","0.535121","-0.101156","0.714004","18874.984375","-36995.019531",
"70.351","64347.390625","0.607323","-0.195001","1.015","13267.048828","-32715.248047",
"70.402","64347.390625","0.681588","-0.003359","0.787032","13223.236328","-32628.791016",
"70.453","68692.8125","0.834244","-0.173269","1.020922","10156.396484","-28089.638672",
"70.505","68692.8125","0.715627","-0.009286","0.536366","10112.583984","-28003.179688",
"70.557","70806.8125","0.789892","-0.097204","0.779137","6257.128418","-21172.839844",
"70.609","70806.8125","0.762042","0.031216","0.537353","6169.504395","-21043.148438",
"70.661","71628.921875","0.849716","0.061839","0.64887","1306.372559","-11662.240234",
"70.713","71511.46875","0.858999","0.087523","0.631106","1218.748535","-11575.779297",
"70.765","70806.8125","0.876534","0.175442","0.523537","-3863.443848","-3751.149902",
"70.815","70689.359375","0.830119","0.087523","0.500839","-3951.067871","-3664.689941",
"70.866","68692.8125","0.929139","0.110244","0.503799","-8814.200195","2171.359863",
"70.917","68575.375","0.893038","0.166551","0.514655","-8814.200195","2257.819824",
"70.968","61293.84375","0.977617","0.160624","0.458403","-11399.107422","7013.120117",
"71.018","61176.40625","0.899226","0.167539","0.312346","-11399.107422","7013.120117",
"71.069","51076.21875","1.020939","0.101353","0.372545","-13502.083984","10601.209961",
"71.12","50841.328125","0.988963","0.13494","0.180105","-13502.083984","10601.209961",
"71.171","27704.859375","0.97968","0.259409","0.353795","-16612.736328","13195.009766",
"71.222","27352.53125","0.999278","0.269288","0.256094","-16700.359375","13195.009766",
"71.272","-3770.132812","0.963177","0.166551","0.053785","-25725.630859","15226.820312",
"71.322","-4239.90625","1.072512","-0.201916","0.211685","-25681.820312","15140.359375",
"71.373","-43231.316406","1.024033","0.157661","0.49097","-24411.271484","10385.060547",
"71.424","-43583.648438","1.044662","0.245579","-0.296556","-24323.646484","10298.599609",
"71.475","-70360.882812","1.069417","0.108268","0.037995","-19460.515625","2690.119873",
"71.526","-70595.765625","1.054977","0.075669","0.255107","-19416.703125","2646.889893",
"71.577","-87155.375","1.02919","0.235701","-0.313333","-15824.119141","-5004.819824",
"71.629","-87272.8125","1.02919","0.131977","-0.360703","-15736.496094","-5048.050293",
"71.68","-95963.671875","0.955957","0.130001","-0.200829","-9339.943359","-12959.140625",
"71.731","-96081.117188","1.102424","0.207053","-0.035034","-9252.320312","-13002.369141",
"71.782","-96668.335938","0.942548","-0.005334","-0.359716","-752.791504","-19875.939453",
"71.833","-96668.335938","0.905415","0.128025","-0.53834","-752.791504","-19919.169922",
"71.883","-94554.34375","0.896132","0.223847","-0.515642","3409.348145","-24501.548828",
"71.933","-94671.789062","0.883754","0.138892","-0.442613","3409.348145","-24501.548828",
"71.984","-97373","0.836307","0.090487","-0.604461","4417.023926","-25020.308594",
"72.035","-97373","0.806395","0.157661","-0.798875","4417.023926","-25020.308594",
"72.085","-96668.335938","0.819804","0.186308","-0.574854","6520.000488","-25279.689453",
"72.136","-96785.78125","0.762042","0.153709","-0.50676","6520.000488","-25279.689453",
"72.187","-101718.429688","0.719752","0.198163","-0.763348","9367.78125","-25798.449219",
"72.238","-101718.429688","0.713564","0.132965","-0.778151","9367.78125","-25798.449219",
"72.289","-103127.757812","0.653739","0.048997","-0.827494","11207.884766","-27311.5",
"72.34","-103127.757812","0.623827","0.068754","-0.823547","11207.884766","-27311.5",
"72.391","-103949.867188","0.536153","0.080609","-0.828481","12478.433594","-28867.779297",
"72.441","-103949.867188","0.520681","0.102341","-0.841311","12478.433594","-28824.548828",
"72.492","-103949.867188","0.486643","0.118147","-0.894602","13267.048828","-28608.398438",
"72.543","-103949.867188","0.363899","0.106293","-0.93309","13267.048828","-28608.398438",
"72.594","-109704.617188","0.405157","0.104317","-0.897562","15589.083984","-28867.779297",
"72.645","-109704.617188","0.352553","0.09839","-0.939998","15589.083984","-28867.779297",
"72.695","-110526.726562","0.374214","-0.016201","-0.918287","17954.933594","-29127.160156",
