timestamp(ms),Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,
"58.669","0.165859","-0.300701","0.90151","16640.572266","-23464.029297","51898.328125",
"58.72","0.171016","-0.460733","1.203494","16640.572266","-23464.029297","51898.328125",
"58.771","0.022486","-0.419243","0.837363","18173.992188","-25236.458984","51898.328125",
"58.822","0.000825","-0.327373","0.828481","18173.992188","-25236.458984","51780.875",
"58.873","-0.06622","-0.458757","0.952827","21284.644531","-27311.5","51193.65625",
"58.924","-0.065188","-0.423195","0.820586","21284.644531","-27311.5","51076.21875",
"58.974","-0.155957","-0.533834","0.902497","23650.492188","-30640.208984","49666.890625",
"59.025","-0.194121","-0.441964","0.936051","23650.492188","-30640.208984","49549.4375",
"59.076","-0.174523","-0.399486","0.812691","25709.658203","-33968.921875","48257.5625",
"59.127","-0.224033","-0.619777","0.899536","25709.658203","-33968.921875","48140.109375",
"59.178","-0.249819","-0.66423","0.90151","26761.146484","-35481.972656","41680.703125",
"59.229","-0.343682","-0.675096","0.68045","26761.146484","-35481.972656","41563.25",
"59.28","-0.340588","-0.640522","0.729794","28820.310547","-38075.769531","40271.375",
"59.332","-0.390098","-0.606935","0.597553","28820.310547","-38075.769531","40153.921875",
"59.383","-0.424136","-0.694853","0.575841","31930.962891","-40366.960938","34399.171875",
"59.435","-0.437545","-0.763015","0.430771","31930.962891","-40366.960938","34281.71875",
"59.488","-0.460237","-0.696829","0.323201","33508.191406","-43176.910156","27822.304688",
"59.54","-0.488087","-0.872666","0.425836","33508.191406","-43176.910156","27587.414062",
"59.592","-0.487055","-0.817347","0.229448","35830.226562","-45986.859375","13963.914062",
"59.644","-0.573698","-0.79265","0.343926","35830.226562","-45986.859375","13729.023438",
"59.695","-0.54688","-0.896375","0.073522","36618.84375","-48580.660156","927.625",
"59.746","-0.53966","-0.667194","0.230435","36618.84375","-48580.660156","810.1875",
"59.797","-0.587107","-0.846982","0.06464","37407.460938","-49315.570312","-5649.234375",
"59.848","-0.632491","-0.760051","0.185039","37407.460938","-49315.570312","-5766.679688",
"59.899","-0.555131","-0.851921","-0.070562","38458.945312","-50353.089844","-15866.867188",
"59.95","-0.537597","-0.838091","0.217606","38415.136719","-50309.859375","-15984.304688",
"60.001","-0.558226","-0.876618","-0.098194","38196.074219","-50093.710938","-16571.53125",
"60.052","-0.563383","-0.758076","0.085365","38152.261719","-50093.710938","-16688.96875",
"60.102","-0.628365","-0.822286","-0.20675","37670.332031","-50871.851562","-27493.820312",
"60.153","-0.659309","-0.859824","-0.06464","37670.332031","-50828.621094","-27611.265625",
"60.204","-0.655183","-0.683987","-0.148525","39203.75","-50612.472656","-30429.921875",
"60.255","-0.6459","-0.625704","-0.315306","39203.75","-50569.242188","-30664.804688",
"60.306","-0.66034","-0.564457","-0.349847","40255.238281","-49574.949219","-47929.074219",
"60.358","-0.646931","-0.593105","-0.389322","40255.238281","-49531.722656","-48046.519531",
"60.409","-0.63868","-0.616813","-0.532419","42051.53125","-47283.761719","-59556.03125",
"60.46","-0.602579","-0.519016","-0.496891","42007.71875","-47240.53125","-59790.921875",
"60.511","-0.640743","-0.583226","-0.725846","41043.855469","-45727.480469","-72709.757812",
"60.564","-0.540691","-0.460733","-0.525511","41000.042969","-45684.25","-72827.203125",
"60.617","-0.608767","-0.410353","-0.816639","39466.621094","-43436.292969","-80695.953125",
"60.669","-0.249819","-0.382693","-0.627159","39422.8125","-43393.0625","-80813.398438",
"60.721","-0.530376","-0.298726","-0.801836","38940.878906","-41404.480469","-90091.46875",
"60.772","-0.496338","-0.286871","-0.778151","38897.066406","-41361.25","-90208.914062",
"60.823","-0.496338","-0.228588","-0.765321","38196.074219","-38551.300781","-99486.992188",
"60.874","-0.471583","-0.215746","-0.862035","38152.261719","-38508.070312","-99486.992188",
"60.925","-0.446828","-0.181172","-0.844271","37933.203125","-37038.25","-101013.765625",
"60.976","-0.459206","-0.203892","-0.771242","37889.390625","-36995.019531","-101013.765625",
"61.027","-0.569572","-0.229576","-0.779137","36355.972656","-34487.679688","-105359.195312",
"61.078","-0.488087","-0.171293","-0.928156","36312.160156","-34444.449219","-105241.75",
"61.129","-0.502527","-0.194014","-0.760387","35830.226562","-33968.921875","-104654.53125",
