timestamp(ms),AccelX,AccelY,AccelZ,Accelx,Accely,Accelz,
"1739559395.279",,,,,"-100",,
"1739559395.281",,,,,,"-710",
"1739559395.287","-6954.939",,,,,,
"1739559395.29",,"-2545.904",,,,,
"1739559395.291",,,"-31675.336",,,,
"1739559395.293",,,,"76",,,
"1739559395.294",,,,,"-100",,
"1739559395.296",,,,,,"-710",
"1739559395.304","-6954.939",,,,,,
"1739559395.305",,"-2545.904",,,,,
"1739559395.307",,,"-31675.336",,,,
"1739559395.308",,,,"76",,,
"1739559395.31",,,,,"-100",,
"1739559395.312",,,,,,"-710",
"1739559395.318","-6954.939",,,,,,
"1739559395.32",,"-2545.904",,,,,
"1739559395.322",,,"-31675.336",,,,
"1739559395.324",,,,"76",,,
"1739559395.325",,,,,"-100",,
"1739559395.327",,,,,,"-710",
"1739559395.335","-6954.939",,,,,,
"1739559395.337",,"-2545.904",,,,,
"1739559395.339",,,"-31675.336","76",,,
"1739559395.341",,,,,"-100",,
"1739559395.343",,,,,,"-710",
"1739559395.35","-6954.939",,,,,,
"1739559395.351",,"-2545.904",,,,,
"1739559395.353",,,"-31675.336",,,,
"1739559395.355",,,,"76",,,
"1739559395.356",,,,,"-100",,
"1739559395.358",,,,,,"-710",
"1739559395.365","-7165.0058",,,,,,
"1739559395.367",,"-2093.299",,,,,
"1739559395.369",,,"-31675.336",,,,
"1739559395.37",,,,"71",,,
"1739559395.372",,,,,"-88",,
"1739559395.373",,,,,,"-710",
"1739559395.381","-7165.0058",,,,,,
"1739559395.382",,"-2093.299",,,,,
"1739559395.385",,,"-31675.336",,,,
"1739559395.387",,,,"71","-88",,
"1739559395.389",,,,,,"-710",
"1739559395.398","-7165.0058","-2093.299",,,,,
"1739559395.4",,,"-31675.336",,,,
"1739559395.402",,,,"71",,,
"1739559395.403",,,,,"-88",,
"1739559395.405",,,,,,"-710",
"1739559395.412","-7165.0058",,,,,,
"1739559395.414",,"-2093.299",,,,,
"1739559395.416",,,"-31675.336",,,,
"1739559395.418",,,,"71",,,
"1739559395.42",,,,,"-88","-710",
"1739559395.427","-7165.0058",,,,,,
"1739559395.43",,"-2093.299",,,,,
"1739559395.431",,,"-31675.336",,,,
"1739559395.433",,,,"71",,,
"1739559395.434",,,,,"-88",,
"1739559395.436",,,,,,"-710",
"1739559395.443","-7165.0058",,,,,,
"1739559395.445",,"-2093.299",,,,,
"1739559395.447",,,"-31675.336",,,,
"1739559395.448",,,,"71",,,
"1739559395.45",,,,,"-88",,
"1739559395.452",,,,,,"-710",
"1739559395.458","-7669.343",,,,,,
"1739559395.46",,"-2772.206",,,,,
"1739559395.462",,,"-32052.796",,,,
"1739559395.463",,,,"59",,,
"1739559395.465",,,,,"-106",,
"1739559395.467",,,,,,"-716",
"1739559395.474","-7669.343",,,,,,
"1739559395.476",,"-2772.206",,,,,
"1739559395.479",,,"-32052.796",,,,
