timestamp(ms),AccelX,AccelY,AccelZ,Accelx,Accely,Accelz,
"1739557826.368","-0.007",,,,,,
"1739557826.37",,"0.016",,,,,
"1739557826.371",,,"0.998",,,,
"1739557826.373",,,,"-15",,,
"1739557826.375",,,,,"-24",,
"1739557826.376",,,,,,"988",
"1739557826.383","-0.008",,,,,,
"1739557826.384",,"0.016",,,,,
"1739557826.386",,,"0.998",,,,
"1739557826.387",,,,"-15",,,
"1739557826.389",,,,,"-26",,
"1739557826.39",,,,,,"984",
"1739557826.397","-0.008",,,,,,
"1739557826.399",,"0.016",,,,,
"1739557826.4",,,"0.999",,,,
"1739557826.402",,,,"-6",,,
"1739557826.403",,,,,"-18",,
"1739557826.405",,,,,,"994",
"1739557826.411","-0.008",,,,,,
"1739557826.413",,"0.016",,,,,
"1739557826.414",,,"0.999",,,,
"1739557826.416",,,,"-15",,,
"1739557826.417",,,,,"-22",,
"1739557826.419",,,,,,"992",
"1739557826.425","-0.007",,,,,,
"1739557826.427",,"0.016",,,,,
"1739557826.428",,,"0.999",,,,
"1739557826.43",,,,"-11",,,
"1739557826.431",,,,,"-21",,
"1739557826.433",,,,,,"987",
"1739557826.44","-0.007",,,,,,
"1739557826.441",,"0.016",,,,,
"1739557826.443",,,"0.999",,,,
"1739557826.444",,,,"-14",,,
"1739557826.446",,,,,"-19",,
"1739557826.448",,,,,,"986",
"1739557826.453","-0.007",,,,,,
"1739557826.455",,"0.017",,,,,
"1739557826.456",,,"0.999",,,,
"1739557826.458",,,,"-15",,,
"1739557826.46",,,,,"-21",,
"1739557826.461",,,,,,"988",
"1739557826.468","-0.008",,,,,,
"1739557826.469",,"0.016",,,,,
"1739557826.471",,,"0.999",,,,
"1739557826.472",,,,"-18",,,
"1739557826.474",,,,,"-19",,
"1739557826.476",,,,,,"984",
"1739557826.482","-0.008",,,,,,
"1739557826.483",,"0.016",,,,,
"1739557826.485",,,"0.999",,,,
"1739557826.487",,,,"-20",,,
"1739557826.488",,,,,"-26",,
"1739557826.49",,,,,,"989",
"1739557826.496","-0.009",,,,,,
"1739557826.499",,"0.015","0.998",,,,
"1739557826.501",,,,"-18",,,
"1739557826.502",,,,,"-27",,
"1739557826.505",,,,,,"984",
"1739557826.511","-0.008",,,,,,
"1739557826.513",,"0.015",,,,,
"1739557826.514",,,"0.998",,,,
"1739557826.516",,,,"-11",,,
"1739557826.517",,,,,"-21",,
"1739557826.519",,,,,,"983",
"1739557826.525","-0.008",,,,,,
"1739557826.527",,"0.016",,,,,
"1739557826.528",,,"0.999",,,,
"1739557826.53",,,,"-9",,,
"1739557826.531",,,,,"-23",,
"1739557826.533",,,,,,"990",
"1739557826.539","-0.008",,,,,,
"1739557826.541",,"0.015",,,,,
"1739557826.542",,,"0.998",,,,
"1739557826.544",,,,"-8",,,
"1739557826.545",,,,,"-20",,
"1739557826.547",,,,,,"988",
"1739557826.553","-0.008",,,,,,
"1739557826.555",,"0.016",,,,,
"1739557826.556",,,"0.997",,,,
"1739557826.558",,,,"-13",,,
"1739557826.559",,,,,"-18",,
"1739557826.561",,,,,,"982",
"1739557826.567","-0.008",,,,,,
"1739557826.569",,"0.016",,,,,
"1739557826.57",,,"0.998",,,,
"1739557826.572",,,,"-12",,,
"1739557826.573",,,,,"-20",,
"1739557826.575",,,,,,"994",
"1739557826.582","-0.008",,,,,,
"1739557826.584",,"0.016",,,,,
"1739557826.585",,,"0.998",,,,
"1739557826.587",,,,"-11",,,
"1739557826.589",,,,,"-22",,
"1739557826.59",,,,,,"987",
"1739557826.597","-0.007",,,,,,
"1739557826.598",,"0.015",,,,,
"1739557826.599",,,"0.997",,,,
"1739557826.601",,,,"-10",,,
"1739557826.603",,,,,"-25",,
"1739557826.604",,,,,,"985",
"1739557826.611","-0.007",,,,,,
"1739557826.612",,"0.015",,,,,
"1739557826.614",,,"0.997",,,,
"1739557826.615",,,,"-13",,,
"1739557826.617",,,,,"-25",,
"1739557826.619",,,,,,"983",
"1739557826.626","-0.006",,,,,,
"1739557826.627",,"0.014",,,,,
"1739557826.628",,,"0.998",,,,
"1739557826.63",,,,"-18",,,
"1739557826.632",,,,,"-27",,
"1739557826.633",,,,,,"993",
"1739557826.64","-0.006",,,,,,
"1739557826.641",,"0.015",,,,,
"1739557826.642",,,"0.998",,,,
"1739557826.644",,,,"-16",,,
"1739557826.646",,,,,"-25",,
"1739557826.647",,,,,,"983",
"1739557826.655","-0.007",,,,,,
"1739557826.656",,"0.015",,,,,
"1739557826.658",,,"0.998",,,,
"1739557826.659",,,,"-15",,,
"1739557826.661",,,,,"-21",,
"1739557826.663",,,,,,"982",
"1739557826.669","-0.007",,,,,,
"1739557826.67",,"0.015",,,,,
"1739557826.672",,,"0.998",,,,
"1739557826.673",,,,"-12",,,
"1739557826.675",,,,,"-24",,
"1739557826.677",,,,,,"991",
"1739557826.683","-0.007",,,,,,
"1739557826.684",,"0.014",,,,,
"1739557826.686",,,"0.998",,,,
"1739557826.687",,,,"-7",,,
"1739557826.689",,,,,"-28",,
"1739557826.69",,,,,,"990",
"1739557826.698","-0.007",,,,,,
"1739557826.699",,"0.013",,,,,
"1739557826.701",,,"0.999",,,,
"1739557826.702",,,,"-10",,,
"1739557826.704",,,,,"-30",,
"1739557826.706",,,,,,"993",
"1739557826.712","-0.006",,,,,,
"1739557826.713",,"0.013",,,,,
"1739557826.714",,,"0.998",,,,
"1739557826.716",,,,"-11",,,
"1739557826.718",,,,,"-15",,
"1739557826.719",,,,,,"988",
"1739557826.726","-0.007",,,,,,
"1739557826.728",,"0.014",,,,,
"1739557826.729",,,"0.998",,,,
"1739557826.731",,,,"-17",,,
"1739557826.732",,,,,"-17",,
"1739557826.734",,,,,,"988",
"1739557826.741","-0.007",,,,,,
"1739557826.742",,"0.014",,,,,
"1739557826.744",,,"0.999",,,,
"1739557826.745",,,,"-13",,,
"1739557826.747",,,,,"-20",,
"1739557826.749",,,,,,"991",
"1739557826.755","-0.007",,,,,,
"1739557826.756",,"0.014",,,,,
"1739557826.758",,,"0.999",,,,
"1739557826.759",,,,"-10",,,
"1739557826.761",,,,,"-29",,
"1739557826.763",,,,,,"983",
"1739557826.77","-0.007",,,,,,
"1739557826.771",,"0.014",,,,,
"1739557826.773",,,"0.999",,,,
"1739557826.774",,,,"-14",,,
"1739557826.776",,,,,"-26",,
"1739557826.777",,,,,,"991",
"1739557826.784","-0.006",,,,,,
"1739557826.786",,"0.014",,,,,
"1739557826.787",,,"0.999",,,,
"1739557826.789",,,,"-13",,,
"1739557826.79",,,,,"-19",,
"1739557826.792",,,,,,"988",
"1739557826.798","-0.007",,,,,,
"1739557826.8",,"0.015",,,,,
"1739557826.801",,,"1.001",,,,
"1739557826.803",,,,"-19",,,
"1739557826.804",,,,,"-13",,
"1739557826.806",,,,,,"997",
"1739557826.813","-0.007",,,,,,
"1739557826.815",,"0.015",,,,,
"1739557826.816",,,"1.001",,,,
"1739557826.817",,,,"-11",,,
"1739557826.819",,,,,"-21",,
"1739557826.821",,,,,,"991",
"1739557826.826","-0.006",,,,,,
"1739557826.828",,"0.016",,,,,
"1739557826.829",,,"1",,,,
"1739557826.831",,,,"-4",,,
"1739557826.833",,,,,"-22",,
"1739557826.834",,,,,,"985",
"1739557826.84","-0.006",,,,,,
"1739557826.842",,"0.016",,,,,
"1739557826.843",,,"1",,,,
"1739557826.845",,,,"-10",,,
"1739557826.847",,,,,"-26",,
"1739557826.848",,,,,,"988",
"1739557826.854","-0.006",,,,,,
"1739557826.856",,"0.016",,,,,
"1739557826.857",,,"0.999",,,,
"1739557826.859",,,,"-7",,,
"1739557826.861",,,,,"-15",,
"1739557826.862",,,,,,"982",
"1739557826.868","-0.005",,,,,,
"1739557826.87",,"0.017",,,,,
"1739557826.871",,,"0.999",,,,
"1739557826.873",,,,"-12",,,
"1739557826.874",,,,,"-10",,
"1739557826.876",,,,,,"982",
"1739557826.883","-0.005",,,,,,
"1739557826.885",,"0.017",,,,,
"1739557826.886",,,"0.999",,,,
"1739557826.888",,,,"-13",,,
"1739557826.889",,,,,"-19",,
"1739557826.891",,,,,,"993",
"1739557826.897","-0.006",,,,,,
"1739557826.898",,"0.018",,,,,
"1739557826.9",,,"1",,,,
"1739557826.902",,,,"-16",,,
"1739557826.903",,,,,"-24",,
"1739557826.905",,,,,,"991",
"1739557826.911","-0.006",,,,,,
"1739557826.912",,"0.018",,,,,
"1739557826.914",,,"1",,,,
"1739557826.915",,,,"-9",,,
"1739557826.917",,,,,"-24",,
"1739557826.919",,,,,,"996",
"1739557826.926","-0.006",,,,,,
"1739557826.927",,"0.018",,,,,
"1739557826.928",,,"1",,,,
"1739557826.93",,,,"-16",,,
"1739557826.932",,,,,"-15",,
"1739557826.933",,,,,,"990",
"1739557826.94","-0.007",,,,,,
"1739557826.941",,"0.018",,,,,
"1739557826.943",,,"0.999",,,,
"1739557826.944",,,,"-26",,,
"1739557826.946",,,,,"-14",,
"1739557826.948",,,,,,"987",
